slug	access	served_html_bytes
alcyoneus	gated	56113
amazimu	gated	55718
antaeus	gated	55903
atlas	free	77540
balor	gated	56066
bestla	gated	55583
briareus	gated	56198
budj-bim	free	76334
chinny-kinik	free	80800
cormoran	gated	58613
dzunukwa	gated	59471
enceladus	gated	57606
fangfeng	gated	54742
gaoh	gated	55087
geryon	gated	56114
giant-of-kandahar	gated	57502
giant-of-kunar	gated	55245
giant-of-the-forest	free	80626
gogmagog	gated	58040
goliath	free	80337
hiranyakashipu	gated	56017
hrungnir	gated	57093
jentilak	free	75512
kahui-tipua	gated	56767
kee-wakw	gated	57790
kua-fu	gated	53584
kumbhakarna	gated	55268
maero	gated	56148
mahabali	gated	56334
murkupang	free	82684
nawao	gated	55651
nephilim	free	76904
og-of-bashan	gated	57014
ojancanu	gated	58845
olentzero	gated	54580
oni	free	88026
orion	gated	55629
papinijuwari	free	77150
paul-bunyan	free	69346
polybotes	gated	55366
polyphemus	free	84444
porphyrion	gated	56520
quinametzin	gated	56337
ravana	free	72404
rubezahl	gated	59028
shuten-doji	gated	58506
si-te-cah	free	79642
skrymir	gated	57750
stallo	gated	59377
surtr	gated	58180
svyatogor	gated	56286
talos	gated	54795
thardid-jimbo	free	83375
thrym	gated	57717
tityus	gated	53877
tsul-kalu	free	77768
xelhua	gated	55210
ymir	free	78948
